id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedroom,bed,bath,is_studio,type
859580235431783474,17922601,Veronica Alejandra,,Palermo,-34.5773801,-58.4313712,Entire home/apt,11645,3,5,2023-06-19,2.27,36,168,5,,5.0,1,2,1,False,Rental unit 
859585694829226780,127224490,Denise,,Retiro,-34.5894517,-58.3824639,Entire home/apt,14157,3,6,2023-06-21,2.17,2,327,6,,5.0,2,4,1,False,Condo 
859607244695663571,128876425,Lucia,,Caballito,-34.625774172979,-58.44130103611956,Entire home/apt,7785,3,4,2023-06-27,1.5,1,350,4,,5.0,1,1,1,False,Rental unit 
859635458976245124,317826947,Jorge,,San Nicolas,-34.603946367434865,-58.37700920959296,Entire home/apt,6514,1,10,2023-06-26,4.69,1,278,10,,4.90,1,1,1,False,Serviced apartment 
859645773688393470,11256892,HomelyJoy,,Recoleta,-34.58945846376855,-58.4017947727172,Entire home/apt,7410,2,8,2023-06-21,2.89,132,154,8,,4.75,1,1,1,False,Rental unit 
860004474322505301,501358052,NoMa,,San Nicolas,-34.60828291972255,-58.39117734237077,Entire home/apt,11061,3,0,,,32,336,0,,,1,2,1,True,Rental unit 
860085496719688993,49460212,Gabriel,,Monserrat,-34.60853923498268,-58.37883985251622,Private room,5605,1,3,2023-06-15,2.2,4,359,3,,5.0,1,1,1,False,Rental unit 
860085503284534588,164661793,Delfi,,Palermo,-34.57850437528475,-58.43787923455239,Entire home/apt,11498,3,8,2023-06-25,2.82,5,350,8,,5.0,1,2,1,False,Rental unit 
860104719723531250,505095102,Paula,,Belgrano,-34.5575394,-58.4517553,Shared room,3057,1,2,2023-04-18,0.73,6,362,2,,,2,6,1,False,Home 
860151594904130792,389845679,Mathias Nahuel,,Belgrano,-34.5565082,-58.456701,Entire home/apt,8662,2,2,2023-06-20,1.43,25,169,2,,,1,1,1,True,Rental unit 
860156126317370044,38008551,Silvana Andrea,,Nuñez,-34.5431323,-58.4618177,Entire home/apt,14012,1,8,2023-06-04,3.2,10,350,8,,4.88,1,2,1,True,Rental unit 
860160622921248044,419864084,Victor Lisandro,,Monserrat,-34.61475665099035,-58.37757913669597,Entire home/apt,10190,1,0,,,1,364,0,,,1,1,1,False,Rental unit 
860181661908583259,8903026,Nathalia,,Palermo,-34.58795805521462,-58.438304344891975,Entire home/apt,10220,3,9,2023-06-23,4.09,15,200,9,,4.89,1,1,1,False,Rental unit 
860200663460194137,49069906,Pablo,,San Nicolas,-34.6061627,-58.3919705,Entire home/apt,5605,2,7,2023-06-22,2.63,14,302,7,,4.43,1,1,1,False,Rental unit 
860200812146137432,508092783,Jaquelina,,Palermo,-34.57391002773796,-58.42227223841366,Entire home/apt,24273,2,0,,,1,0,0,,,1,1,1.5,False,Rental unit 
860203616578464806,508092257,Hugo Dario,,Monserrat,-34.613494,-58.3850116,Entire home/apt,8152,2,0,,,2,364,0,,,1,2,1,False,Rental unit 
860231518755624874,2378913,Oscar,,San Nicolas,-34.60382512127803,-58.3803107242831,Entire home/apt,11464,3,4,2023-06-19,2.67,1,342,4,,4.75,2,2,1,False,Rental unit 
860235896817759032,6653527,Valeria Cecilia,,Chacarita,-34.58333590000001,-58.4446386,Entire home/apt,8322,2,0,,,3,356,0,,New,1,1,1,False,Rental unit 
860245556127696155,93368351,Solange,,Palermo,-34.566526868172254,-58.43558512212451,Entire home/apt,22449,183,2,2023-05-03,0.95,9,226,2,,,5,5,3.5,False,Home 
860245588362764400,507389164,Manuel,,Caballito,-34.62604704220967,-58.42813855411608,Entire home/apt,5621,3,0,,,1,0,0,1123047344,,1,1,1,False,Rental unit 
860289323908552831,77300019,Rubén,,San Telmo,-34.622264348861464,-58.37465944301263,Entire home/apt,8687,2,4,2023-05-01,1.48,1,269,4,,5.0,1,1,1,False,Rental unit 
860289580078907691,163075782,Adrián,,Recoleta,-34.58415406175362,-58.40615627741634,Entire home/apt,3841,1,0,,,1,196,0,,,2,3,1,False,Rental unit 
860292801473846911,181056457,Dayi,,Palermo,-34.58872311431212,-58.43522105894861,Entire home/apt,2990,2,6,2023-06-06,2.2,5,349,6,,4.50,1,1,1.5,False,Home 
860311741457990982,502520050,Maria,,Almagro,-34.6014654,-58.4172243,Entire home/apt,11245,2,11,2023-06-27,4.58,11,165,11,,4.82,1,2,1,False,Rental unit 
860367938165391090,502520050,Maria,,Almagro,-34.6019,-58.41818,Entire home/apt,9026,2,13,2023-06-18,4.64,11,362,13,,4.85,1,1,1,False,Rental unit 
860414178484053919,86423418,Mónica,,Nuñez,-34.54733763587532,-58.45479095543244,Private room,11464,2,0,,,2,170,0,,,1,1,1,False,Condo 
860419724980520080,51699880,Lorena,,Monserrat,-34.612468555954,-58.37284637218749,Entire home/apt,7921,2,3,2023-06-13,1.5,146,79,3,,4.33,1,1,1,False,Rental unit 
860422179632859464,51699880,Lorena,,Monserrat,-34.61040624055896,-58.37490799609228,Entire home/apt,6643,2,5,2023-05-26,2.68,146,60,5,,4.40,1,1,1,False,Rental unit 
860424791549298235,51699880,Lorena,,Monserrat,-34.61096817954866,-58.372990585776925,Entire home/apt,4599,2,2,2023-05-16,1.11,146,61,2,,,1,1,1,False,Rental unit 
860427602183242046,51699880,Lorena,,Monserrat,-34.61192218242531,-58.37499304960654,Entire home/apt,5110,2,3,2023-06-12,2.5,146,67,3,,5.0,1,1,1,False,Rental unit 
860435996786302561,502520050,Maria,,Almagro,-34.6020225891142,-58.41631716922472,Entire home/apt,11974,2,7,2023-05-28,2.56,11,166,7,,4.86,1,1,1,False,Rental unit 
860671604102450588,7421651,Joaquina,,Villa Crespo,-34.595945388547264,-58.43969290596628,Entire home/apt,7745,5,1,2023-06-18,1.0,1,355,1,,,1,2,1,False,Rental unit 
860716527033576421,508059995,Licia,,Palermo,-34.578899402525934,-58.43531238095093,Entire home/apt,9053,2,5,2023-06-20,1.85,1,16,5,,5.0,1,1,1,True,Rental unit 
860718541346801586,508181688,Sol,,Palermo,-34.58903,-58.43461,Private room,8943,1,5,2023-05-21,2.17,1,353,5,,4.60,1,1,1,False,Rental unit 
860741886312804452,11256892,HomelyJoy,,Palermo,-34.58187996446001,-58.44262759089392,Entire home/apt,8613,2,6,2023-06-24,2.2,132,162,6,,4.50,1,1,1,False,Rental unit 
860772013988163248,11256892,HomelyJoy,,Retiro,-34.59798,-58.37966,Entire home/apt,10512,2,5,2023-06-12,1.88,132,156,5,,4.60,1,1,1,False,Rental unit 
860790651304282606,438940827,Ignacio De Jesus,,Recoleta,-34.5973464,-58.3951186,Entire home/apt,20042,2,0,,,1,0,0,,,2,4,2,False,Rental unit 
860824811975361513,505984928,Julio,,Almagro,-34.60009,-58.4220983,Entire home/apt,11400,2,0,,,1,66,0,,,1,1,1,False,Condo 
860828273099290733,24241120,Roberto,,Palermo,-34.5730017,-58.4210696,Entire home/apt,16305,2,1,2023-06-19,1.0,1,59,1,,,1,2,2,False,Rental unit 
860854719765507643,27917513,Paula,,San Nicolas,-34.60454671016603,-58.38837263152456,Entire home/apt,6300,3,3,2023-05-11,1.1,1,53,3,,5.0,1,1,1,False,Rental unit 
860877032959160455,205138745,Belu,,Recoleta,-34.5910592,-58.40943339999999,Entire home/apt,18014,3,8,2023-06-27,3.29,17,149,8,,4.88,3,4,1,False,Rental unit 
860889351653710761,508233180,Dolores,,Palermo,-34.59381206465798,-58.414331541691794,Entire home/apt,8600,3,1,2023-05-28,0.94,1,90,1,,,1,1,1,False,Condo 
860895168606352866,12805306,Ezequiel,,Monserrat,-34.6115181,-58.37389369999999,Entire home/apt,8176,3,2,2023-04-24,0.73,2,335,2,,,1,1,1,False,Rental unit 
860927166646753858,505617542,Román,,San Nicolas,-34.60695,-58.38913,Private room,8552,1,2,2023-05-22,0.91,2,176,2,,,1,1,1,False,Rental unit 
